Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,RPA,Latitude,Longitude,Mapped Location
PD202000356130,05/03/2020 12:59:54 AM,,,93,,,,9T,,,,4F86,C,425,4001,,,
PD202000356131,05/03/2020 12:59:59 AM,,,83,,P,PROGRESS,5,,5000,MT VIEW RD,324C,335,325,8871,36.058,-86.669,POINT (-86.669 36.058)
PD202000356135,05/03/2020 01:01:04 AM,,,96,,,,12,,,,811C,MT,815V,5801,,,
PD202000356137,05/03/2020 01:02:07 AM,,,96,,,,12,,,,117C,W,121N,4915,,,
PD202000356138,05/03/2020 01:02:13 AM,,,70,,A,ALARM,11,,,,,MT,833K,7103,,,
PD202000356140,05/03/2020 01:02:40 AM,,,93,,,,9T,,,,331C,S,335K,8927,,,
PD202000356141,05/03/2020 01:03:13 AM,,,96,,,,12,,,,811C,MT,813N,5617,,,
PD202000356142,05/03/2020 01:06:06 AM,,,96,,,,15,,,,423C,C,421K,4105,,,
PD202000356143,05/03/2020 01:06:11 AM,,,96,,,,12,,,,5281,C,411,4119,,,
PD202000356145,05/03/2020 01:06:20 AM,,,96,,,,15,,,,411C,C,411N,4147,,,
PD202000356146,05/03/2020 01:07:16 AM,,,96,,,,4,,,,815C,MT,815N,6607,,,
PD202000356147,05/03/2020 01:07:32 AM,,,43,,PM,,4,,,,605,N,617,4301,,,
PD202000356149,05/03/2020 01:08:37 AM,,,96,,,,12,,,,811C,MT,811K,5521,,,
PD202000356150,05/03/2020 01:08:40 AM,,,40,,PV,,4,,,,513C,H,515K,9213,,,
PD202000356152,05/03/2020 01:09:46 AM,,,43,,P,PROGRESS,4,,,,215C,E,215,1321,,,
PD202000356151,05/03/2020 01:09:46 AM,,,43,,P,PROGRESS,4,,,,332C,S,333,8773,,,
PD202000356153,05/03/2020 01:10:32 AM,,,96,,,,12,,,,511C,H,517N,,,,
PD202000356154,05/03/2020 01:10:43 AM,20200312825,,43,,PM,,11,,200,CHIMNEYTOP DR,833C,,331,8753,36.039,-86.662,POINT (-86.662 36.039)
PD202000356155,05/03/2020 01:11:01 AM,,,93,,,,9T,,1400,LEBANON PKE,515C,,,,,,
PD202000356159,05/03/2020 01:12:58 AM,,,87,,L,,4,,,,811C,MT,813,5341,,,
PD202000356160,05/03/2020 01:13:24 AM,,,43,,P,PROGRESS,6,,,,211C,E,213K,1131,,,
PD202000356161,05/03/2020 01:14:06 AM,,,42,,P,PROGRESS,6,,1200,BELL RD,315C,335,325,8721,36.045,-86.666,POINT (-86.666 36.045)
PD202000356163,05/03/2020 01:14:12 AM,,,44,,P,PROGRESS,10,,2000,S HAMILTON RD,620C,,231V,0,36.193,-86.832,POINT (-86.832 36.193)
PD202000356167,05/03/2020 01:15:44 AM,,,71,,A,ALARM,12,,,,111C,W,111K,4511,,,
PD202000356169,05/03/2020 01:18:03 AM,,,96,,,,12,,,,833C,MT,835K,8655,,,
PD202000356170,05/03/2020 01:19:25 AM,,,96,,,,15,,300,BROADWAY,421C,C,421N,,,,
PD202000356171,05/03/2020 01:19:44 AM,,,44,,P,PROGRESS,11,,,,615C,N,615,5311,,,
PD202000356172,05/03/2020 01:19:50 AM,,,40,,PV,,9,,,LEBANON PKE,523C,,521,9613,,,
PD202000356174,05/03/2020 01:20:21 AM,,,93,,,,9T,,,,4F86,C,411,4141,,,
PD202000356175,05/03/2020 01:20:37 AM,,,96,,,,12,,,,823C,MT,821K,6905,,,
PD202000356179,05/03/2020 01:22:12 AM,,,43,,PM,,11,,600,LEWIS ST,725C,,422X,0,36.15,-86.758,POINT (-86.758 36.15)
PD202000356182,05/03/2020 01:22:30 AM,,,70,,A,ALARM,12,,,,121C,W,121,,,,
PD202000356183,05/03/2020 01:22:49 AM,,,40,,P,PROGRESS,5,,,,623C,N,623,3151,,,
PD202000356184,05/03/2020 01:24:29 AM,,,96,,,,12,,300,PORT DR,725C,,235T,0,36.257,-86.742,POINT (-86.742 36.257)
PD202000356185,05/03/2020 01:25:37 AM,,,96,,,,12,,4600,ALABAMA AV,117C,,,,,,
