Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,RPA,Latitude,Longitude,Mapped Location
PD202000359569,05/04/2020 07:49:33 AM,,,15,,P,PROGRESS,15,,,,2911,MT,813P,5623,,,
PD202000359570,05/04/2020 07:50:05 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,W,117,6001,,,
PD202000359572,05/04/2020 07:52:26 AM,,,70,,A,ALARM,12,,,,616A,N,615,5417,,,
PD202000359573,05/04/2020 07:52:30 AM,20200315729,,50,,R,REPORT,1,,,,TE10,,,,,,
PD202000359575,05/04/2020 07:52:45 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,BHPD,MT,825H,8303,,,
PD202000359576,05/04/2020 07:52:46 AM,,,96,,,,4,,,,7F65,M,725,2137,,,
PD202000359577,05/04/2020 07:52:52 AM,,,43,,P,PROGRESS,4,,200,LARGO DR,EAPR,,315Z,0,36.084,-86.706,POINT (-86.706 36.084)
PD202000359578,05/04/2020 07:53:23 AM,,,71,,A,ALARM,4C,,900,WINTHORNE DR,320A,,321X,0,36.118,-86.703,POINT (-86.703 36.118)
PD202000359579,05/04/2020 07:53:38 AM,,,43,,P,PROGRESS,4,,,,423A,C,423,,,,
PD202000359580,05/04/2020 07:53:58 AM,,,93,,,,3,,,,5191,MT,825N,8504,,,
PD202000359581,05/04/2020 07:54:45 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,600,ATLANTA DR,523A,523,523,9537,36.208,-86.594,POINT (-86.594 36.208)
PD202000359582,05/04/2020 07:54:45 AM,,,96,,,,15,,2000,NEELYS BEND RD,713A,,225V,0,36.207,-86.665,POINT (-86.665 36.207)
PD202000359583,05/04/2020 07:54:52 AM,,,45,,P,PROGRESS,1,,,,1T73,W,123N,4701,,,
PD202000359584,05/04/2020 07:55:12 AM,,,96,,,,12,,100,MCGAVOCK PKE,515A,,332T,0,36.175,-86.679,POINT (-86.679 36.175)
PD202000359586,05/04/2020 07:56:08 AM,,,87,,P,PROGRESS,4,,,,824A,MT,825,6409,,,
PD202000359587,05/04/2020 07:56:13 AM,,,3,,,,4,,1400,MURFREESBORO PKE,535A,,,,,,
PD202000359588,05/04/2020 07:57:00 AM,,,71,,A,ALARM,11,,1500,GALLATIN PKE N,721A,M,727,1757,,,
PD202000359589,05/04/2020 07:57:14 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,W,125,4809,,,
PD202000359591,05/04/2020 07:57:31 AM,,,87,,L,,11,,,,513A,H,511,8211,,,
PD202000359592,05/04/2020 07:57:54 AM,,,87,,B,BANK/SECURITY ESCORT,4,,,CREEKSIDE DR,325A,,,,,,
PD202000359594,05/04/2020 07:59:10 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,6C,,,,831A,MT,831,8501,,,
PD202000359596,05/04/2020 08:00:28 AM,,,87,,P,PROGRESS,4,,,,623A,N,625N,3121,,,
PD202000359598,05/04/2020 08:00:33 AM,20200315867,,50,,R,REPORT,1,,,,321A,,,,,,
PD202000359597,05/04/2020 08:00:33 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,S,331,8759,,,
PD202000359599,05/04/2020 08:01:09 AM,,,88,,PW,,11,,0,BERKLEY DR,,711,711,1519,,,
PD202000359601,05/04/2020 08:02:19 AM,,,87,,P,PROGRESS,4,,,,4F81,N,617,4239,,,
PD202000359602,05/04/2020 08:02:19 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,4600,CHANDLER RD,522A,523,523,9513,,,
PD202000359603,05/04/2020 08:02:41 AM,,,70,,A,ALARM,13,,,,3E41,S,331,8759,,,
PD202000359604,05/04/2020 08:03:23 AM,,,96,,,,12,,200,GALLATIN PKE S,7F63,M,711,1771,,,
PD202000359605,05/04/2020 08:03:24 AM,,,93,,,,3,,,MM 81 2 I65 N,5191,South,313N,80040,36.131,-86.774,POINT (-86.774 36.131)
PD202000359606,05/04/2020 08:03:55 AM,,,96,,,,12,,1100,BROADWAY,4B42,,,,,,
PD202000359608,05/04/2020 08:04:13 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,6,,,,332A,S,333,8865,,,
PD202000359609,05/04/2020 08:04:20 AM,,,75,,RJ,,10,,5100,NOLENSVILLE PKE,830A,,316W,0,36.056,-86.716,POINT (-86.716 36.056)
PD202000359610,05/04/2020 08:04:40 AM,,,88,,PW,,5,,,,217A,E,213K,1203,,,
PD202000359611,05/04/2020 08:04:55 AM,,,15,,P,PROGRESS,15,,,,5535,E,211,1025,,,
PD202000359613,05/04/2020 08:05:34 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,10,,,,120A,W,125,4713,,,
PD202000359615,05/04/2020 08:06:23 AM,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,4,,,,3841,W,121,5003,,,
PD202000359616,05/04/2020 08:06:26 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,311A,S,315N,8839,,,
PD202000359618,05/04/2020 08:07:18 AM,,,92,,P,PROGRESS,4,,,,3783,MT,823N,6935,,,
PD202000359619,05/04/2020 08:07:51 AM,,,92,,P,PROGRESS,6,,,,2C65,N,611,4415,,,
PD202000359620,05/04/2020 08:09:09 AM,,,15,,P,PROGRESS,15,,,,2E16,E,211,1011,,,
PD202000359621,05/04/2020 08:09:15 AM,,,43,,P,PROGRESS,15,,300,1ST AV S,2911,,,0,,,
PD202000359622,05/04/2020 08:10:22 AM,,,71,,A,ALARM,13,,,,522A,H,525N,9711,,,
PD202000359623,05/04/2020 08:10:28 AM,,,15,,P,PROGRESS,15,,2600,GALLATIN PKE,2E12,,214U,0,36.197,-86.742,POINT (-86.742 36.197)
PD202000359625,05/04/2020 08:11:28 AM,,,71,,A,ALARM,12,,200,SUMMIT VIEW DR,833A,325,833,8623,,,
PD202000359626,05/04/2020 08:11:39 AM,,,44,,P,PROGRESS,11,,2800,GALLATIN PKE,225A,,,,,,
PD202000359627,05/04/2020 08:11:47 AM,20200315815,,43,,R,REPORT,1,,5500,CHARLOTTE PKE,111A,,132Y,0,36.151,-86.854,POINT (-86.854 36.151)
PD202000359628,05/04/2020 08:11:49 AM,,,40,,PV,,4,,,,813A,MT,813,5503,,,
PD202000359629,05/04/2020 08:12:07 AM,,,70,,A,ALARM,12,,,,115A,W,117K,6015,,,
PD202000359630,05/04/2020 08:12:38 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,W,121,4903,,,
PD202000359631,05/04/2020 08:12:47 AM,,,96,,,,4C,,,,5F63,H,517N,9409,,,
PD202000359632,05/04/2020 08:13:16 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,S,333,8863,,,
PD202000359633,05/04/2020 08:13:21 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,H,517K,9125,,,
PD202000359634,05/04/2020 08:15:02 AM,,,46,,P,PROGRESS,6,,,,815A,MT,831,,,,
PD202000359635,05/04/2020 08:15:32 AM,,,3,,,,11,,,,55S66,N,615,5325,,,
PD202000359636,05/04/2020 08:15:36 AM,,,43,,P,PROGRESS,4,,100,GALLATIN PKE N,723A,M,723,1763,,,
PD202000359637,05/04/2020 08:15:40 AM,,,44,,P,PROGRESS,6,,2800,GALLATIN PKE,225A,,,,,,
PD202000359638,05/04/2020 08:15:54 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,5F64,H,525,9717,,,
PD202000359639,05/04/2020 08:15:56 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,200,MISTY CAPE CV,5F61,Hermit,523,9545,36.161,-86.592,POINT (-86.592 36.161)
PD202000359640,05/04/2020 08:16:34 AM,,,3,,,,4,,,,612A,E,227N,1853,,,
PD202000359641,05/04/2020 08:16:41 AM,20200315825,,43,,PV,,1,,,,323A,,,,,,
PD202000359642,05/04/2020 08:16:51 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,325A,S,321,8709,,,
PD202000359643,05/04/2020 08:16:59 AM,,,87,,P,PROGRESS,4,,,,821A,MT,823N,6923,,,
PD202000359644,05/04/2020 08:17:05 AM,,,3,,,,4,,,,55S53,N,,,,,
PD202000359645,05/04/2020 08:17:30 AM,,,45,,P,PROGRESS,1,,,,5M77,H,515,,,,
PD202000359646,05/04/2020 08:17:52 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,MT,825,7021,,,
PD202000359647,05/04/2020 08:18:33 AM,,,70,,A,ALARM,11,,,,,W,115,4671,,,
PD202000359648,05/04/2020 08:19:15 AM,,,15,,P,PROGRESS,15,,,,2912,S,311P,8169,,,
PD202000359649,05/04/2020 08:19:26 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,125A,W,125,4813,,,
PD202000359650,05/04/2020 08:19:41 AM,,,87,,P,PROGRESS,4,,300,BONNAVALE DR,5F65,521,521,9603,,,
PD202000359651,05/04/2020 08:19:44 AM,,,15,,P,PROGRESS,15,,,,411A,C,413K,1957,,,
PD202000359653,05/04/2020 08:19:57 AM,,,3,,,,4,,4800,FRANKLIN PKE,55S15,,118S,0,36.081,-86.773,POINT (-86.773 36.081)
PD202000359654,05/04/2020 08:20:12 AM,20200315777,,50,,RT,,1,,,,TE17,,,,,,
PD202000359655,05/04/2020 08:20:56 AM,,,96,,,,12,,,,532A,H,535,8939,,,
PD202000359656,05/04/2020 08:21:27 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,113A,W,113,6009,,,
PD202000359657,05/04/2020 08:21:47 AM,20200315859,,64,,P,PROGRESS,11,,,,620A,N,617N,4353,,,
PD202000359658,05/04/2020 08:22:56 AM,,,3,,,,4,,400,MYATT DR,7F66,M,715,1715,,,
PD202000359659,05/04/2020 08:23:00 AM,20200315915,,50,,RT,,1,,,,TE17,,,,,,
PD202000359662,05/04/2020 08:24:13 AM,,,71,,A,ALARM,12,,1900,GALLATIN PKE N,727A,M,727,1731,,,
PD202000359663,05/04/2020 08:24:20 AM,,,3,,,,4,,5500,CHARLOTTE PKE,1E21,,132Y,0,36.151,-86.854,POINT (-86.854 36.151)
PD202000359665,05/04/2020 08:24:46 AM,,,43,,P,PROGRESS,2,,,,223A,E,223,1887,,,
PD202000359666,05/04/2020 08:24:59 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,W,117,6117,,,
PD202000359669,05/04/2020 08:26:32 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,117A,W,117,6209,,,
PD202000359668,05/04/2020 08:26:32 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,6,,,,531A,H,513N,9019,,,
PD202000359670,05/04/2020 08:27:01 AM,,,87,,P,PROGRESS,11,,,,823A,MT,825,6409,,,
PD202000359671,05/04/2020 08:27:05 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,311A,S,313,8413,,,
PD202000359674,05/04/2020 08:27:25 AM,,,43,,P,PROGRESS,4,,0,FANT INDUSTRIAL DR,7F64,M,715,1715,36.281,-86.692,POINT (-86.692 36.281)
PD202000359675,05/04/2020 08:27:57 AM,,,87,,P,PROGRESS,4,,,,5251,W,123,4701,,,
PD202000359677,05/04/2020 08:29:17 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,325A,S,331,8759,,,
PD202000359678,05/04/2020 08:29:49 AM,,,87,,P,PROGRESS,4,,,,525C,H,533,8945,,,
PD202000359679,05/04/2020 08:29:59 AM,,,45,,P,PROGRESS,1,,,,1M71,W,115,4645,,,
PD202000359680,05/04/2020 08:30:04 AM,,,71,,A,ALARM,12,,300,PLUS PARK BLVD,317A,,321Y,0,36.129,-86.725,POINT (-86.725 36.129)
PD202000359681,05/04/2020 08:30:24 AM,,,87,,P,PROGRESS,11,,,,,E,227N,1901,,,
PD202000359682,05/04/2020 08:30:29 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,6,,,DOWDY CT,317A,,323,8899,36.07,-86.671,POINT (-86.671 36.07)
PD202000359683,05/04/2020 08:30:45 AM,,,87,,P,PROGRESS,4,,,,821A,MT,825N,8343,,,
PD202000359684,05/04/2020 08:30:52 AM,,,40,,P,PROGRESS,6,,,,227A,E,225,1841,,,
PD202000359686,05/04/2020 08:31:24 AM,,,87,,L,,11,,,,,W,121,5015,,,
PD202000359687,05/04/2020 08:32:24 AM,,,49,,P,PROGRESS,3T,,,OLD HICKORY BLVD,5M77,,521,9613,36.198,-86.62,POINT (-86.62 36.198)
PD202000359688,05/04/2020 08:32:29 AM,,,43,,P,PROGRESS,4C,,700,BOWFIELD CT,325B,,,,,,
PD202000359689,05/04/2020 08:32:39 AM,,,88,,PW,,11,,,,,H,515,9301,,,
PD202000359690,05/04/2020 08:32:50 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,825A,MT,815,5909,,,
PD202000359691,05/04/2020 08:33:07 AM,,,96,,,,12,,,,55S62,H,515N,9319,,,
PD202000359692,05/04/2020 08:33:13 AM,,,96,,,,12,,100,GALLATIN PKE S,7F63,,,,,,
PD202000359693,05/04/2020 08:33:20 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,400,STONER CREEK CT,5F64,,,,,,
PD202000359695,05/04/2020 08:35:21 AM,,,43,,P,PROGRESS,15,,,,2913,W,123P,4703,,,
PD202000359696,05/04/2020 08:35:36 AM,,,96,,,,12,,,,5251,W,125K,4811,,,
PD202000359697,05/04/2020 08:35:39 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,2000,HICKORY HILL LN,5F65,,,,,,
PD202000359698,05/04/2020 08:35:59 AM,,,70,,A,ALARM,13,,,,835A,MT,835,,,,
PD202000359699,05/04/2020 08:36:11 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4C,,,,5F63,H,517,9421,,,
PD202000359700,05/04/2020 08:36:13 AM,,,3,,,,4,,400,MYATT DR,612A,M,715,1715,,,
PD202000359701,05/04/2020 08:36:31 AM,,,71,,A,ALARM,13,,,,725A,M,725K,2043,,,
PD202000359702,05/04/2020 08:36:46 AM,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,4,,,,5F61,H,535,8983,,,
PD202000359703,05/04/2020 08:38:14 AM,,,70,,A,ALARM,13,,,,825A,MT,825K,6415,,,
PD202000359704,05/04/2020 08:38:24 AM,20200315903,,43,,RT,,1,,,,TE10,,,,,,
PD202000359705,05/04/2020 08:39:09 AM,,,87,,L,,11,,,BELL RD,,,331,8753,,,
PD202000359706,05/04/2020 08:39:23 AM,20200316005,,43,,RT,,1,,,,TE10,H,511K,9003,,,
PD202000359707,05/04/2020 08:39:41 AM,,,70,,A,ALARM,12,,,,4F81,N,613,4477,,,
PD202000359708,05/04/2020 08:39:53 AM,,,92,,P,PROGRESS,6,,,,4B44,C,413N,1101,,,
PD202000359709,05/04/2020 08:40:42 AM,20200315845,,43,,PJ,,1,,,,811A,MT,811,6711,,,
PD202000359710,05/04/2020 08:40:48 AM,,,70,,A,ALARM,13,,,,833A,MT,833,,,,
PD202000359711,05/04/2020 08:41:25 AM,20200315829,,50,,TV,,1,,,,125A,,,,,,
PD202000359712,05/04/2020 08:41:54 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,S,313,8335,,,
PD202000359713,05/04/2020 08:42:03 AM,,,87,,P,PROGRESS,11,,,OLD HICKORY BLVD,,,833,8621,36.04,-86.744,POINT (-86.744 36.04)
PD202000359714,05/04/2020 08:42:56 AM,,,87,,P,PROGRESS,11,,,,,W,113,5249,,,
PD202000359715,05/04/2020 08:43:03 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,6,,,,323A,S,321,8709,,,
PD202000359716,05/04/2020 08:43:20 AM,,,15,,P,PROGRESS,15,,,,5535,E,211,1023,,,
PD202000359717,05/04/2020 08:43:29 AM,,,71,,A,ALARM,12,,300,WILLIAMS AV,721A,M,723,1765,,,
PD202000359718,05/04/2020 08:44:31 AM,,,96,,,,12,,800,MADISON SQ,711A,711,711,1783,,,
PD202000359719,05/04/2020 08:44:48 AM,20200315905,,50,,RV,,1,,,,313A,,,,,,
PD202000359720,05/04/2020 08:44:52 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,W,117,6119,,,
PD202000359721,05/04/2020 08:44:55 AM,,,87,,P,PROGRESS,11,,,,303,MT,835,8651,,,
PD202000359722,05/04/2020 08:45:48 AM,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,4,,5500,COTTONPORT DR,832A,,,,,,
PD202000359723,05/04/2020 08:45:50 AM,,,43,,P,PROGRESS,4,,5700,NOLENSVILLE PKE,835A,,316W,0,36.045,-86.714,POINT (-86.714 36.045)
PD202000359724,05/04/2020 08:47:16 AM,,,43,,P,PROGRESS,4,,300,PORT DR,721A,,235T,0,36.257,-86.742,POINT (-86.742 36.257)
PD202000359725,05/04/2020 08:48:30 AM,,,87,,P,PROGRESS,4,,,,113A,W,113,5217,,,
PD202000359726,05/04/2020 08:48:31 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,W,113,5233,,,
PD202000359727,05/04/2020 08:49:09 AM,,,46,,P,PROGRESS,1T,,,,832A,MT,831,,,,
PD202000359728,05/04/2020 08:49:31 AM,20200315954,,50,,R,REPORT,1,,,,613A,,,,,,
PD202000359729,05/04/2020 08:49:36 AM,,,45,,P,PROGRESS,1,,,,5M76,H,511N,8209,,,
PD202000359730,05/04/2020 08:50:29 AM,,,45,,P,PROGRESS,6,,,,510A,H,517,9125,,,
PD202000359731,05/04/2020 08:51:00 AM,,,96,,,,12,,,,4B42,C,415Q,4101,,,
PD202000359732,05/04/2020 08:51:19 AM,,,44,,R,REPORT,1,,,,VANDY,MT,825V,8525,,,
PD202000359733,05/04/2020 08:52:01 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,5F64,H,515,9211,,,
PD202000359734,05/04/2020 08:52:24 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,824A,MT,825K,6413,,,
PD202000359735,05/04/2020 08:53:01 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,EZELL RD,332A,,,,,,
PD202000359737,05/04/2020 08:54:25 AM,,,87,,P,PROGRESS,11,,,,,W,113,5203,,,
PD202000359739,05/04/2020 08:54:37 AM,,,87,,L,,11,,,,,MT,835,8655,,,
PD202000359740,05/04/2020 08:54:47 AM,,,71,,A,ALARM,11,,,,821A,MT,825,,,,
PD202000359742,05/04/2020 08:55:06 AM,,,96,,,,12,,,,415A,C,423,,,,
PD202000359741,05/04/2020 08:55:06 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,MT,821N,8041,,,
PD202000359743,05/04/2020 08:55:18 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,5F61,H,531,8819,,,
PD202000359744,05/04/2020 08:55:25 AM,,,3,,,,6,,,,55S75,N,615,5325,,,
PD202000359745,05/04/2020 08:55:31 AM,,,96,,,,15,,,,215A,E,227N,1933,,,
PD202000359746,05/04/2020 08:56:26 AM,,,3,,,,15,,600,MARRIOTT DR,815B,,331W,0,36.145,-86.69,POINT (-86.69 36.145)
PD202000359747,05/04/2020 08:56:49 AM,,,44,,P,PROGRESS,9S,,,,423A,C,425N,4031,,,
PD202000359749,05/04/2020 08:57:00 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,6,,,,616A,N,623K,3141,,,
PD202000359750,05/04/2020 08:57:05 AM,,,88,,PW,,10,,,,531A,H,533,8957,,,
PD202000359751,05/04/2020 08:57:50 AM,,,65,,P,PROGRESS,11,,,,,N,621,3009,,,
PD202000359752,05/04/2020 08:57:54 AM,,,96,,,,12,,,,4B42,C,415Q,4101,,,
PD202000359753,05/04/2020 08:58:19 AM,,,15,,P,PROGRESS,15,,,,2912,MT,821N,,,,
PD202000359754,05/04/2020 08:58:37 AM,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,11,,5100,HUNTERS POINT LN,,,,,,,
PD202000359755,05/04/2020 08:58:38 AM,,,96,,,,12,,,,2E16,E,211K,1121,,,
PD202000359756,05/04/2020 08:58:44 AM,,,96,,,,12,,,,7F62,M,725Q,2145,,,
PD202000359757,05/04/2020 08:59:41 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,623A,N,623,3025,,,
PD202000359758,05/04/2020 09:00:13 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,121A,W,121,4915,,,
PD202000359759,05/04/2020 09:00:55 AM,,,44,,P,PROGRESS,5,,,,513A,H,517,9401,,,
PD202000359761,05/04/2020 09:01:48 AM,,,43,,P,PROGRESS,4,,,,S,C,411P,,,,
PD202000359763,05/04/2020 09:02:52 AM,,,96,,,,12,,,,7F65,M,725,2137,,,
PD202000359764,05/04/2020 09:03:00 AM,,,15,,P,PROGRESS,15,,,,4B45,C,425,4051,,,
PD202000359766,05/04/2020 09:04:39 AM,,,71,,A,ALARM,11,,,,,M,727N,1731,,,
PD202000359769,05/04/2020 09:05:38 AM,,,43,,P,PROGRESS,4,,,,523A,H,517,9119,,,
PD202000359770,05/04/2020 09:06:40 AM,,,43,,P,PROGRESS,6C,,,,5F63,H,517,9113,,,
PD202000359771,05/04/2020 09:07:42 AM,,,49,,P,PROGRESS,9,,,,616A,N,615,5351,,,
PD202000359772,05/04/2020 09:08:04 AM,,,87,,P,PROGRESS,11,,,,,E,217,1401,,,
PD202000359773,05/04/2020 09:08:22 AM,,,44,,P,PROGRESS,11,,,,,H,535,8935,,,
PD202000359774,05/04/2020 09:08:58 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,512A,H,513,9107,,,
PD202000359775,05/04/2020 09:09:18 AM,,,43,,P,PROGRESS,11,,,,821A,MT,813K,5625,,,
PD202000359776,05/04/2020 09:09:34 AM,,,15,,P,PROGRESS,15,,,,2E12,E,211P,1117,,,
PD202000359778,05/04/2020 09:10:00 AM,,,96,,,,12,,2300,GALLATIN PKE N,7F63,M,727,1737,,,
PD202000359779,05/04/2020 09:10:26 AM,,,43,,R,REPORT,8,,,,512A,H,511N,8201,,,
PD202000359780,05/04/2020 09:10:44 AM,,,87,,L,,4,,,,320A,S,333,8765,,,
PD202000359781,05/04/2020 09:10:53 AM,,,50,,R,REPORT,14,,5900,OLD HICKORY BLVD,523A,533,521,9527,36.166,-86.598,POINT (-86.598 36.166)
PD202000359782,05/04/2020 09:11:40 AM,,,87,,P,PROGRESS,4,,,,824A,MT,825N,7027,,,
PD202000359783,05/04/2020 09:12:02 AM,,,87,,P,PROGRESS,11,,,,831A,MT,835,8657,,,
PD202000359784,05/04/2020 09:12:31 AM,,,96,,,,12,,,,213A,E,225,1821,,,
PD202000359786,05/04/2020 09:12:54 AM,,,96,,,,12,,,,4B42,C,425,4007,,,
PD202000359787,05/04/2020 09:13:06 AM,,,15,,P,PROGRESS,15,,,,2E11,E,211P,,,,
PD202000359788,05/04/2020 09:13:27 AM,,,87,,P,PROGRESS,4,,,,121A,W,121,4915,,,
PD202000359789,05/04/2020 09:14:35 AM,,,87,,L,,11,,,,,H,513,9015,,,
PD202000359790,05/04/2020 09:14:45 AM,,,87,,L,,11,,,,,H,511,82042,,,
PD202000359791,05/04/2020 09:15:22 AM,,,15,,P,PROGRESS,4,,7000,CHARLOTTE PKE,123A,,,,,,
PD202000359792,05/04/2020 09:16:20 AM,,,43,,P,PROGRESS,15,,,,2913,W,119Q,,,,
PD202000359793,05/04/2020 09:16:49 AM,,,43,,P,PROGRESS,15,,,,725A,M,725,2109,,,
PD202000359794,05/04/2020 09:16:57 AM,,,96,,,,15,,800,GALLATIN PKE S,714A,M,711,1623,,,
PD202000359795,05/04/2020 09:17:16 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,612A,N,611,4435,,,
PD202000359796,05/04/2020 09:17:41 AM,,,43,,R,REPORT,1,,3700,JAMES KAY LN,TE10,,,,,,
PD202000359797,05/04/2020 09:18:45 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,533A,H,513N,,,,
PD202000359798,05/04/2020 09:18:46 AM,,,96,,,,12,,,,821A,MT,821K,8019,,,
PD202000359799,05/04/2020 09:18:48 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,S,311K,8117,,,
PD202000359801,05/04/2020 09:19:52 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,6,,,,215A,E,215,,,,
PD202000359802,05/04/2020 09:20:20 AM,,,43,,P,PROGRESS,4C,,,,220A,E,215,1365,,,
PD202000359803,05/04/2020 09:20:28 AM,,,70,,A,ALARM,11,,,,,W,125,4713,,,
PD202000359804,05/04/2020 09:21:16 AM,,,43,,P,PROGRESS,4,,,,616A,N,615,5313,,,
PD202000359806,05/04/2020 09:22:00 AM,,,87,,P,PROGRESS,9,,4700,APOLLO DR,332A,,,,,,
PD202000359807,05/04/2020 09:22:53 AM,,,44,,P,PROGRESS,6,,,,821A,MT,811N,6631,,,
PD202000359808,05/04/2020 09:23:26 AM,,,15,,P,PROGRESS,15,,,,5535,N,615,5425,,,
PD202000359809,05/04/2020 09:23:56 AM,,,92,,P,PROGRESS,4,,,,320C,S,313,8357,,,
PD202000359810,05/04/2020 09:24:00 AM,,,3,,,,4,,,,5F75,H,,,,,
PD202000359811,05/04/2020 09:24:20 AM,,,44,,P,PROGRESS,9,,600,GALLATIN PKE S,715A,M,711,1783,,,
PD202000359812,05/04/2020 09:25:03 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,6,,,,831A,MT,835N,8651,,,
PD202000359813,05/04/2020 09:25:40 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,512A,H,513,9107,,,
PD202000359814,05/04/2020 09:25:45 AM,,,70,,A,ALARM,4,,,,113A,W,115,4659,,,
PD202000359815,05/04/2020 09:25:59 AM,,,43,,P,PROGRESS,15,,,,2911,PCW,,,,,
PD202000359816,05/04/2020 09:26:02 AM,20200315973,,44,,R,REPORT,1,,,,517A,,,,,,
PD202000359817,05/04/2020 09:26:24 AM,,,87,,P,PROGRESS,4,,,,523A,H,525,9605,,,
PD202000359818,05/04/2020 09:27:07 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,121A,W,125,4813,,,
PD202000359819,05/04/2020 09:27:26 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,8M72,MT,815,5901,,,
PD202000359820,05/04/2020 09:28:29 AM,,,15,,P,PROGRESS,15,,,,2E16,E,211N,,,,
PD202000359821,05/04/2020 09:28:30 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,W,123K,5023,,,
PD202000359822,05/04/2020 09:28:56 AM,,,70,,A,ALARM,13,,1500,HADLEY AV,521A,,,,,,
PD202000359824,05/04/2020 09:29:13 AM,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,4,,,,535A,H,531,8819,,,
PD202000359825,05/04/2020 09:29:16 AM,20200316031,,43,,R,REPORT,1,,,,113A,,,,,,
PD202000359826,05/04/2020 09:29:35 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,835A,MT,835K,8659,,,
PD202000359827,05/04/2020 09:29:39 AM,,,3,,,,11,,,,616A,H,513N,8217,,,
PD202000359828,05/04/2020 09:29:56 AM,,,96,,,,4,,200,WILLIAMS AV,723A,M,723,1763,36.267,-86.711,POINT (-86.711 36.267)
PD202000359829,05/04/2020 09:30:21 AM,,,43,,PM,,4,,,,55S74,H,511,8209,,,
PD202000359830,05/04/2020 09:30:51 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,6,,,,331A,S,335N,8905,,,
PD202000359831,05/04/2020 09:32:01 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,S,317K,8415,,,
