Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,RPA,Latitude,Longitude,Mapped Location
PD202000174983,03/03/2020 12:42:11 AM,,,96,,,,12,,200,WHITE BRIDGE PKE,113C,,132Y,0,36.138,-86.858,POINT (-86.858 36.138)
PD202000174985,03/03/2020 12:42:23 AM,,,87,,P,PROGRESS,11,,,,332C,C,413,4231,,,
PD202000174986,03/03/2020 12:42:31 AM,,,71,,A,ALARM,12,,,,2E12,E,227,,,,
PD202000174988,03/03/2020 12:43:04 AM,,,71,,A,ALARM,12,,,,117C,W,115K,4653,,,
PD202000174987,03/03/2020 12:43:04 AM,,,96,,,,4,,,,5272,S,323,8841,,,
PD202000174989,03/03/2020 12:43:09 AM,,,61,,P,PROGRESS,11,,,,121C,ECC,115A,4653,,,
PD202000174990,03/03/2020 12:43:22 AM,,,71,,A,ALARM,12,,,,622C,N,621,,,,
PD202000174991,03/03/2020 12:43:23 AM,,,71,,A,ALARM,12,,,,715C,M,715,,,,
PD202000174992,03/03/2020 12:44:09 AM,,,96,,,,12,,,,5273,S,315K,8873,,,
PD202000174993,03/03/2020 12:44:39 AM,,,70,,A,ALARM,12,,,,627C,N,627,,,,
PD202000174995,03/03/2020 12:45:20 AM,,,70,,A,ALARM,12,,,,615C,N,617,,,,
PD202000174996,03/03/2020 12:45:21 AM,,,70,,A,ALARM,12A,,,,4241,H,521,,,,
PD202000174997,03/03/2020 12:45:25 AM,,,43,,P,PROGRESS,4,,,,531C,H,531N,8951,,,
PD202000174998,03/03/2020 12:45:32 AM,,,70,,A,ALARM,11,,,,,E,211,,,,
PD202000174999,03/03/2020 12:45:43 AM,,,73,,P,PROGRESS,10,,,,110C,TE,115K,4653,,,
PD202000175000,03/03/2020 12:46:01 AM,,,71,,A,ALARM,12,,,,313C,E,211,,,,
PD202000175001,03/03/2020 12:46:11 AM,,,71,,A,ALARM,12,,,,315A,C,413,,,,
PD202000175002,03/03/2020 12:46:31 AM,,,71,,A,ALARM,12,,,,425A,C,413,,,,
PD202000175004,03/03/2020 12:46:51 AM,,,70,,A,ALARM,12,,,,515C,H,521,,,,
